TimeStamp, Source,LogType,Description
05.15 14:38.15, , Initialization, Info, Command line:wvs.exe /ps 4484010347811 /console "C:\Program Files (x86)\Acunetix\Web Vulnerability Scanner 10\wvs_console.exe"  /Scan http://testhtml5.vulnweb.com --HtmlAuthUser= --HtmlAuthPass=  /Verbose /ExportXML /SaveLogs /SaveFolder C:\WDScanner\WWW\report\ec1d0085488097c51c6e433520b2cc5b\
05.15 14:38.15, Console,Info,Test temporary directory ...
05.15 14:38.15, Console,Info,Init WinSock ...
05.15 14:38.15, Console,Info,Init HTTP module ...
05.15 14:38.15, Console,Info,Clear old logs ...
05.15 14:38.15, Console,Info,Parse branding ...
05.15 14:38.15, App_Initialization_Shutdown,Info,Build: 20160217
05.15 14:38.15, Console,Info,Init the browser ...
05.15 14:38.15, Console,Info,Init database manager ...
05.15 14:38.15, Console,Info,Init GHDB ...
05.15 14:38.15, Console,Info,Init server info interface ...
05.15 14:38.15, Frame_Config,Info,Parse Frame Config XML ...
05.15 14:38.15, Console,Info,Init application detection ...
05.15 14:38.15, Console,Info,Init Acunetix VVS ...
05.15 14:38.15, Console,Info,Load false positives ...
05.15 14:38.15, Console,Info,Init global messaging ...
05.15 14:38.15, Console,Info,Done.
05.15 14:38.15, Scan,Info,http://testhtml5.vulnweb.com have the ip 176.28.50.165
05.15 14:38.16, Scan,Info,Start URL : http://testhtml5.vulnweb.com
05.15 14:38.16, Scan,Info,Scanning Mode : Heuristic
05.15 14:38.16, Scan,Info,Server banner: nginx
05.15 14:38.16, Site_Structure,Info,Site_File unit instances (before reinit):
05.15 14:38.16, Site_File,Info,SF: 0; SFL: 1; SFRL: 7
05.15 14:38.16, Crawler,Info,[TCrawler : $0BA502B0] Structure initialized
05.15 14:38.16, Site_Structure,Info,Site_File unit instances (after reinit):
05.15 14:38.16, Site_File,Info,SF: 1; SFL: 3; SFRL: 8
05.15 14:38.16, Crawler,Info,[TCrawler : $0BA502B0] Crawling started, URL: http://testhtml5.vulnweb.com/
05.15 14:38.16, Crawler,Info,[TCrawler : $0BA502B0] Crawler:  http://testhtml5.vulnweb.com/ State transition: CS_INITIALIZED -> CS_RUNNING
05.15 14:38.16, Crawler,Info,[TCrawler : $0BA502B0] Added request for URL http://testhtml5.vulnweb.com/
05.15 14:38.16, Crawler,Info,[TCrawler : $0BA502B0] Crawler:  http://testhtml5.vulnweb.com/ State transition: CS_RUNNING -> CS_DETECT404
05.15 14:38.19, Crawler,Info,Auto custom 404 page detector done.
05.15 14:38.19, Crawler,Info,[TCrawler : $0BA502B0] Crawler:  http://testhtml5.vulnweb.com/ State transition: CS_DETECT404 -> CS_RUNNING
05.15 14:38.19, ScriptExecThread(6),Info,Per server script "Apache_mod_negotiation_Filename_Bruteforcing.script" starting
05.15 14:38.19, ScriptExecThread(0),Info,Per server script "AJP_Audit.script" starting
05.15 14:38.19, ScriptExecThread(8),Info,Per server script "Apache_Geronimo_Default_Administrative_Credentials.script" starting
05.15 14:38.19, ScriptExecThread(2),Info,Per server script "Apache_Axis2_Audit.script" starting
05.15 14:38.19, ScriptExecThread(5),Info,Per server script "Apache_Proxy_CONNECT_Enabled.script" starting
05.15 14:38.19, ScriptExecThread(1),Info,Per server script "Apache_httpOnly_Cookie_Disclosure.script" starting
05.15 14:38.19, ScriptExecThread(9),Info,Per server script "Apache_Running_As_Proxy.script" starting
05.15 14:38.19, ScriptExecThread(3),Info,Per server script "Apache_Roller_Audit.script" starting
05.15 14:38.19, ScriptExecThread(7),Info,Per server script "Apache_Server_Information.script" starting
05.15 14:38.19, ScriptExecThread(4),Info,Per server script "Amazon_S3_Ping.script" starting
05.15 14:38.19, ScriptExecThread(4),Info,Per server script "Amazon_S3_Ping.script" finished in 452 ms. Request count: 1. Status: 0
05.15 14:38.19, ScriptExecThread(4),Info,Per server script "Apache_Solr_Exposed.script" starting
05.15 14:38.19, Crawler,Info,[TCrawler : $0BA502B0] Added request for URL http://testhtml5.vulnweb.com/favicon.ico
05.15 14:38.19, Crawler,Info,[TCrawler : $0BA502B0] Added request for URL http://testhtml5.vulnweb.com/robots.txt
05.15 14:38.19, Crawler,Info,[TCrawler : $0BA502B0] Request done, http://testhtml5.vulnweb.com/
05.15 14:38.19, Crawler,Info,[TCrawler : $0BA502B0] Processing file /
05.15 14:38.19, Reporter,Info,[info] Password type input with auto-complete enabled "/"
05.15 14:38.19, Reporter,Info,[medium] User credentials are sent in clear text "/"
05.15 14:38.19, Reporter,Info,[medium] HTML form without CSRF protection "/"
05.15 14:38.19, Crawler,Info,[TCrawler : $0BA502B0] Added request for URL http://testhtml5.vulnweb.com/login
05.15 14:38.19, Crawler,Info,[TCrawler : $0BA502B0] Added request for URL http://testhtml5.vulnweb.com/login
05.15 14:38.19, Crawler,Info,[TCrawler : $0BA502B0] Added request for URL http://testhtml5.vulnweb.com/static/css/style.css
05.15 14:38.19, Crawler,Info,[TCrawler : $0BA502B0] Added request for URL http://testhtml5.vulnweb.com/static/app/app.js
05.15 14:38.19, Crawler,Info,[TCrawler : $0BA502B0] Added request for URL http://testhtml5.vulnweb.com/static/app/libs/sessvars.js
05.15 14:38.19, Crawler,Info,[TCrawler : $0BA502B0] Added request for URL http://testhtml5.vulnweb.com/static/app/post.js
05.15 14:38.19, Crawler,Info,[TCrawler : $0BA502B0] Added request for URL http://testhtml5.vulnweb.com/static/app/controllers/controllers.js
05.15 14:38.19, Crawler,Info,[TCrawler : $0BA502B0] Added request for URL http://testhtml5.vulnweb.com/static/app/services/itemsService.js
05.15 14:38.19, Crawler,Info,[TCrawler : $0BA502B0] Added request for URL http://testhtml5.vulnweb.com/static
05.15 14:38.19, Crawler,Info,[TCrawler : $0BA502B0] Added request for URL http://testhtml5.vulnweb.com/static/css
05.15 14:38.19, Crawler,Info,[TCrawler : $0BA502B0] Added request for URL http://testhtml5.vulnweb.com/static/img
