TimeStamp, Source,LogType,Description
05.15 14:48.43, ScriptExecThread(3),Info,Per server script "Apache_httpOnly_Cookie_Disclosure.script" finished in 1108 ms. Request count: 1. Status: 0
05.15 14:48.43, ScriptExecThread(3),Info,Per server script "Clickjacking_X_Frame_Options.script" starting
05.15 14:48.43, ScriptExecThread(4),Info,Per server script "ASP_NET_Forms_Authentication_Bypass.script" finished in 281 ms. Request count: 1. Status: 0
05.15 14:48.43, ScriptExecThread(4),Info,Per server script "ClientAccessPolicy_XML.script" starting
05.15 14:48.43, ScriptExecThread(7),Info,Per server script "Apache_Unfiltered_Expect_Header_Injection.script" finished in 593 ms. Request count: 1. Status: 0
05.15 14:48.43, ScriptExecThread(9),Info,Per server script "Arbitrary_file_existence_disclosure_in_Action_Pack.script" finished in 562 ms. Request count: 1. Status: 0
05.15 14:48.43, ScriptExecThread(7),Info,Per server script "ColdFusion_Audit.script" starting
05.15 14:48.43, ScriptExecThread(9),Info,Per server script "ColdFusion_User_Agent_XSS.script" starting
05.15 14:48.43, Crawler,Info,[TCrawler : $0BA402B0] Request done, http://testaspnet.vulnweb.com/
05.15 14:48.43, Crawler,Info,[TCrawler : $0BA402B0] Processing file /
05.15 14:48.43, Crawler,Info,[TCrawler : $0BA402B0] Added request for URL http://testaspnet.vulnweb.com/default.aspx
05.15 14:48.43, Crawler,Info,[TCrawler : $0BA402B0] Added request for URL http://testaspnet.vulnweb.com/default.aspx
05.15 14:48.43, Crawler,Info,[TCrawler : $0BA402B0] Added request for URL http://testaspnet.vulnweb.com/about.aspx
05.15 14:48.43, Crawler,Info,[TCrawler : $0BA402B0] Added request for URL http://testaspnet.vulnweb.com/login.aspx
05.15 14:48.43, Crawler,Info,[TCrawler : $0BA402B0] Added request for URL http://testaspnet.vulnweb.com/styles.css
05.15 14:48.43, Crawler,Info,[TCrawler : $0BA402B0] Added request for URL http://testaspnet.vulnweb.com/Signup.aspx
05.15 14:48.43, Crawler,Info,[TCrawler : $0BA402B0] Added request for URL http://testaspnet.vulnweb.com/rssFeed.aspx
05.15 14:48.43, Crawler,Info,[TCrawler : $0BA402B0] Added request for URL http://testaspnet.vulnweb.com/ReadNews.aspx
05.15 14:48.43, Crawler,Info,[TCrawler : $0BA402B0] Added request for URL http://testaspnet.vulnweb.com/ReadNews.aspx
05.15 14:48.43, Crawler,Info,[TCrawler : $0BA402B0] Added request for URL http://testaspnet.vulnweb.com/Comments.aspx
05.15 14:48.43, Crawler,Info,[TCrawler : $0BA402B0] Added request for URL http://testaspnet.vulnweb.com/Comments.aspx
05.15 14:48.43, Crawler,Info,[TCrawler : $0BA402B0] Added request for URL http://testaspnet.vulnweb.com/ReadNews.aspx
05.15 14:48.43, Crawler,Info,[TCrawler : $0BA402B0] Added request for URL http://testaspnet.vulnweb.com/Comments.aspx
