TimeStamp, Source,LogType,Description
03.19 15:45.32, Site_Structure,Info,Site_File unit instances (before reinit):
03.19 15:45.32, Site_File,Info,SF: 0; SFL: 1; SFRL: 7
03.19 15:45.32, Crawler,Info,[TCrawler : $0D52C9C0] Structure initialized
03.19 15:45.32, Site_Structure,Info,Site_File unit instances (after reinit):
03.19 15:45.32, Site_File,Info,SF: 1; SFL: 3; SFRL: 8
03.19 15:45.32, Crawler,Info,[TCrawler : $0D52C9C0] Crawler:  http://www.whhywater.com State transition: CS_INITIALIZED -> CS_DONE
03.19 15:45.32, Crawler,Info,[TCrawler : $0D52C9C0] Crawling done http://www.whhywater.com
03.19 15:45.32, Crawler,Info,[TCrawler : $0D52C9C0] Memory after crawling 69902336
03.19 15:45.32, Console,Info,--------------------------- Scan statistics ---------------------------
03.19 15:45.32, Console,Info,Scan http://www.whhywater.com
03.19 15:45.32, Console,Info, Number of alerts      : 0
03.19 15:45.32, Console,Info, Number of KB items    : 0
03.19 15:45.32, Console,Info, Number of requests    : 0
03.19 15:45.32, Console,Info, Number of iterations  : 1
03.19 15:45.32, Console,Info, Start time            : 19/3/2019, 15:45:32
03.19 15:45.32, Console,Info, Finish time           : 19/3/2019, 15:45:32
03.19 15:45.32, Console,Info, Scan time             : 
03.19 15:45.32, Console,Info, Average response time : 0.00
03.19 15:45.32, Console,Info, Scan was responsive   : NO
03.19 15:45.32, Console,Info, Scan was aborted      : YES
03.19 15:45.32, Console,Info, Number of files       : 0
03.19 15:45.32, Console,Info, Number of directories : 0
03.19 15:45.32, Console,Info, Number of variations  : 0
03.19 15:45.32, Console,Info,-----------------------------------------------------------------------
